nonstereo_aromatic_smiles,label
Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)n(-c2ccccc2)n1,active
COc1ccc(CC(=O)Nc2ccc3oc(-c4ccc(Cl)cc4)nc3c2)cc1OC,active
CCOS(=O)(=O)C=Cc1ccc(OCCCCNc2nc(-c3ccc(OC)cc3)cs2)cc1,random
CCN(CC)CCCC(C)NC(=O)c1cc(F)ccc1S(=O)(=O)Nc1ccc2c(c1C(=O)O)CCCC2,random
COC(=O)c1ccc2c(c1)NC(=O)C2=C(Nc1ccc2c(c1)N(C(=O)Cn1cncn1)CC2)c1ccccc1,active
COC(=O)c1cn2ncnc(Nc3ccc(C(C)C)c(O)c3)c2c1C,active
c1ccc(-c2[nH]nc3ccccc23)cc1,random
FC(F)(F)c1cccc(Nc2nnc(-c3cnccc3CCc3ccncc3)o2)c1,active
Cn1cnc(-c2cc(NC(=O)Nc3ccncc3)cc(C(F)(F)F)c2)c1,active
N#Cc1cnc(Nc2cc(N3CCN(CCN4CCOCC4)CC3)ncn2)s1,active
Cc1cc(CC(=O)N2CC(O)CC2C(=O)NCc2ccc(-c3scnc3C)cc2)on1,random
O=C(c1ccc2c(cnn2-c2ccc(F)c(F)c2)c1)N1CC(N2CCN(C(=O)c3cscn3)CC2)C1,random
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)n1,active
Cc1c(Cl)cccc1NC(=O)CSCc1ccccc1,random
COc1ccc2c(c1)C1(CC1c1ccc3c(C=Cc4ccc(N5CCN(C)CC5)nc4)n[nH]c3c1)C(=O)N2,active
CC(C)Cn1cnc2ccc(-c3[nH]c(-c4c(F)cccc4F)nc3-c3ccccc3)nc21,random
COc1cc2nccc(Oc3ccc4c(C(=O)Nc5cccc(Cl)c5)cccc4c3)c2cc1OC,active
Cc1cccc(NC(=O)Nc2ccc(-c3cc(C)nc4noc(N)c34)cc2)c1,active
Cc1cccc(NC(=O)c2ccc(NC(=O)Cn3c(=O)c4nncn4c4ccccc43)cc2)c1,active
COc1cnc(CSC)cc1OC,random
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)C(=O)C1,active
CC(C)c1ccc(NC(=O)OC2CCCN(Cc3ccccc3)C2)cc1,random
CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cncc4[nH]ccc34)n2)CC1,random
Cc1ccc2[nH]c(-c3c(N)c4ccccc4[nH]c3=O)nc2c1,active
COC(=O)C(N)CC1(C)CC2CCC1CC2C(C)(C)CCNC(=O)CCC(C)C,random
CCCCOc1ccc(CCC=C2SC(=O)N(CCN)C2=O)cc1,random
CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,random
Nc1ccccc1Nc1cc(-c2ccnc(Nc3ccccc3N)c2)ccn1,random
Cc1[nH]c2c(c1C(=O)NCCCN1CCCC1)CCCC2=C1C(=O)Nc2ccc(F)cc21,active
Cn1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,active
CNc1cc(Oc2c(F)cc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2F)ncn1,active
O=C(C1=C(NS(=O)(=O)c2cccc3nsnc23)CC(NCc2ccccc2)C=C1)N1CCCCC1,random
COCCn1nc(N)c2c(-c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)cccc21,active
NC(=O)C1C2C=CC(C2)C1Nc1nc(Nc2cnn(C3CCCNC3)c2)ncc1Cl,active
CC(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1,active
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,active
CC(=O)NS(=O)(=O)c1ccc(C2=NN(C(C)=O)C(c3ccccc3[N+](=O)[O-])O2)cc1,random
COc1cc2nccc(Oc3ccc(Nc4nn(C)cc4C(=O)Nc4ccccc4)cc3F)c2cc1OC,random
O=[N+]([O-])c1ccccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,random
Cn1cc(Nc2ncc(C(F)(F)F)c(NC3C4C=CC(C4)C3C(=O)NC3CC3)n2)cn1,active
O=c1cc(N2CCNCC2)c2cc(F)ccc2[nH]1,active
c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCCN1CCCCC1,active
N#Cc1c(N)ncnc1N1CC(F)(F)CC1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,random
COc1cc(C2=C(c3cn(CC4COC(C)(C)O4)c4ccccc34)CNC2=O)cc(OC)c1OC,active
